"КАТЕГОРИЯ","НОМЕНКЛАТУРА","АВТОР","ИЗДАТЕЛЬСТВО","ГОД ИЗДАНИЯ","НОМЕНКЛАТУРА.КОЛИЧЕСТВО СТРАНИЦ","ИСПОЛНЕНИЕ ПЕРЕПЛЕТА","НОМЕНКЛАТУРА.ФОРМАТ КНИГИ","НОМЕНКЛАТУРА.ISBN","НОМЕНКЛАТУРА.СТАНДАРТ","НОМЕНКЛАТУРА.АННОТАЦИЯ","НОМЕНКЛАТУРА.АРТИКУЛ","НОМЕНКЛАТУРА.ИНТЕРНЕТ ССЫЛКА ДЛЯ EOTR","СЕРИЯ","РОЗНИЧНАЯ","СЕБЕСТОИМОСТЬ","СТАТУС","ДАТА"
"50","50. Самые знаменитые художники итальянского Возрождения","Астахов А. Ю.,сост.","Белый город","2010","104","твердый переплет","188х260х11","978-5-7793-1962-1","30","Книга содержит основную информацию о 50 известных художниках итальянского Возрождения.","00104079014","http://www.belygorod.ru/b/N00104079014.jpg","50","200.0","167.0","p","2014-12-21"
"50","50. Самые знаменитые шедевры готики","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х11","978-5-7793-2104-4","20","Книга предлагает читателю познакомиться с самыми знаменитыми шедеврами готики. Любопытные истории и факты о средневековом искусстве дополняет красочный иллюстративный материал.","00104079042","http://www.belygorod.ru/b/N00104079042.jpg","50","200.0","143.0","p","2010-07-25"
"50","50. Самые знаменитые шедевры мирового портрета","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1819-8","30","В книге читатель познакомится с самыми знаменитыми портретами, созданными на протяжении пяти столетий. Портретное искусство сформировалось в эпоху Возрождения и было вызвано к жизни интересом к человеку, его духовным устремлением к совершенству.","00104079008","http://www.belygorod.ru/b/N00104079008.jpg","50","200.0","154.0","p","2010-09-25"
"50","50. Самые знаменитые шедевры мировой живописи","Голованова А. Е.","Белый город","2010","104","твердый переплет","188х260х9","978-5-7793-1818-1","30","Книга рассказывает о 50 наиболее известных и великих произведениях искусства, общепризнанных как шедевры мировой живописи. Читатель не всегда может увидеть полотна воочию, и книга даст ему возможность познакомиться с величайшими произведениями.","00104079007","http://www.belygorod.ru/b/N00104079007.jpg","50","200.0","143.0","p","2011-09-19"
"50","50. Самые известные крепости и кремли","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х8","978-5-7793-1991-1","25","Это издание знакомит читателя с самыми известными крепостями и кремлями.","00104079021","http://www.belygorod.ru/b/N00104079021.jpg","50","265.0","221.0","p","2010-08-28"
"50","50. Самые известные православные праздники","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2013-9","26","Книга предлагает читателю познакомиться с основными сведениями о самых известных православных праздниках. Любопытные истории и факты о православных праздниках дополняет красочный иллюстративный материал.","00104079033","http://www.belygorod.ru/b/N00104079033.jpg","50","200.0","167.0","p","2012-03-04"
"50","50. Самые известные сюжеты Нового Завета","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х9","978-5-7793-1993-5","26","В этой книге вы сможете узнать о самых известных событиях, связанных как с Иисусом Христом, так и с зарождением христианской церкви, описанных в книгах Нового Завета.","00104079027","http://www.belygorod.ru/b/N00104079027.jpg","50","200.0","154.0","p","2016-06-15"
"Азы православия","Блага земные и блага небесные","Терещенко Т. Н., Бакулина И.В. сост.","ДАРЪ","2016","288","твердый переплет","115х165х16","978-5-485-00515-3","18","В этой книге собраны цитаты из Священного Писания и высказывания святых отцов и священников о том, каковы блага земные и блага небесные, за что нам благодарить Бога, как усиливать стремление к доброй жизни и как испытать вечное блаженство уже здесь.","00204002049","http://www.belygorod.ru/b/N00204002049.jpg","Азы православия","230.0","192.0","p","2018-09-08"
"Азы православия","Закон Божий","----------","ДАРЪ","2015","288","твердый переплет","210х280х15","978-5-485-00486-6","5","Книга «Закон Божий» простым и доступным языком, по возможности кратко, излагает основы православной веры. Здесь читатель найдет сведения о заповедях Божиих и богослужении, о Таинствах и праздниках, о храме и священстве.","00204002046","http://www.belygorod.ru/b/N00204002046.jpg","Азы православия","750.0","625.0","p","2012-12-09"
"Азы православия","Молитва: Священное Писание и церковный опыт","Терещенко Т. Н., Бакулина И.В. сост.","ДАРЪ","2017","256","твердый переплет","115х165х10","978-5-485-00565-8","16","В этой книге собраны цитаты из Священного Писания и высказывания святых отцов о том, какую силу имеет молитва, что такое умное предстояние перед Богом, как поддержать внутреннюю теплоту и внутренний порядок, приобрести навык к молитвенным оборотам мыслей","00204002053","http://www.belygorod.ru/b/N00204002053.jpg","Азы православия","230.0","177.0","p","2014-09-23"
"Азы православия","О любви, о браке, о детях: Священное Писание и церковный опыт","Терещенко Т. Н.,сост.","ДАРЪ","2016","352","твердый переплет","115х165х14","978-5-485-00543-6","14","В этой книге собраны цитаты из Священного Писания и высказывания святых отцов и священников о любви к Богу, к ближнему, о любви между мужчиной и женщиной, о сути брака, о семье, детях — то, из чего во многом складывается жизнь обычного человека.","00204002048","http://www.belygorod.ru/b/N00204002048.jpg","Азы православия","230.0","164.0","p","2014-11-29"
"Азы православия","Простые ответы на вечные вопросы","Под ред. Архиепископа Егорьевского Марка (Головкова)","ДАРЪ","2012","464","твердый переплет","120х200х25","978-5-485-00364-7","12","В этой книге читатель найдет ответы на волнующие его вопросы, которые касаются мира религии. Авторы текстов, раскрывая ту или иную тему, показывают, насколько тесно наша современная жизнь связана с религией.","00204002032","http://www.belygorod.ru/b/N00204002032.jpg","Азы православия","250.0","192.0","p","2010-06-07"
"Азы православия","Сорок библейских портретов, 2-е изд.","Десницкий А.С.","ДАРЪ","2015","416","твердый переплет","125х200х18","978-5-485-00412-5","14","Книга «40 библейских портретов» рассказывает о людях, героях Библии: кем они были, как жили, чему учили своих современников и учат нас, потомков.","00204002044","http://www.belygorod.ru/b/N00204002044.jpg","Азы православия","330.0","236.0","p","2019-01-06"
"Азы православия","Сорок вопросов о Библии","Десницкий А.С.","ДАРЪ","2012","416","твердый переплет","125х200х22","978-5-485-00359-3","12","В новой книге библеиста Андрея Десницкого вы найдете конкретные и понятные ответы на те вопросы, которые  появляются при чтении библейского текста. Главная цель издания — помочь читателю открыть для себя удивительный мир Библии.","00104002001","http://www.belygorod.ru/b/N00104002001.jpg","Азы православия","330.0","236.0","p","2013-07-07"
"Азы православия","Твой небесный заступник. Равноапостольный царь Константин","----------","ДАРЪ","2012","16","брошюра","145х285х2","978-5-485-00339-5","60","Эта книга станет красивым и познавательным подарком ко дню именин  для ваших родных и близких.","00215002005","http://www.belygorod.ru/b/N00215002005.jpg","Азы православия","75.0","62.0","p","2013-09-12"
"Азы православия","Твой небесный заступник. Святая равноапостольная княгиня Ольга","----------","ДАРЪ","2012","16","брошюра","145х285х2","978-5-485-00360-9","60","Эта книга станет красивым и познавательным подарком ко дню именин  для ваших родных и близких.","00215002007","http://www.belygorod.ru/b/N00215002007.jpg","Азы православия","75.0","58.0","p","2019-10-14"
"Азы православия","Твой небесный заступник. Святой апостол Андрей Первозванный","----------","ДАРЪ","2012","16","брошюра","145х285х2","978-5-485-00343-2","60","Эта книга станет красивым и познавательным подарком ко дню именин  для ваших родных и близких.","00215002004","http://www.belygorod.ru/b/N00215002004.jpg","Азы православия","75.0","58.0","p","2018-05-24"
"Азы православия","Толкование Апокалипсиса","Протоиерей Иоанн Павловцев","ДАРЪ","2017","320","твердый переплет","140х205х20","978-5-485-00573-3","10","Комментарий на книгу Апокалипсис, предлагаемый читателю, опирается как на святоотеческие труды, так и на научно-академические исследования.","00204002054","http://www.belygorod.ru/b/N00204002054.jpg","Азы православия","550.0","393.0","p","2013-12-03"
"Азы православия","Уныние, терпение, смирение: Священное Писание и церковный опыт","Терещенко Т. Н., Бакулина И.В. сост.","ДАРЪ","2017","288","твердый переплет","115х165х13","978-5-485-00566-5","16","В этой книге собраны цитаты из Священного Писания и высказывания святых отцов о том, как не поддаваться «великой ночи» уныния, как найти силы терпеть — недостатки ближнего, болезни, обиды, разные трудности и скорби — и укрепить в своей душе эту «царицу до","00204002052","http://www.belygorod.ru/b/N00204002052.jpg","Азы православия","230.0","177.0","p","2012-07-31"
"Азы православия","Христос Воскресе!","Под ред. Пушкиной Д. В.","ДАРЪ","2016","16","брошюра","145х215х2","978-5-485-00337-1","40","Эта книга станет красивым и познавательным подарком к Пасхе для ваших родных и близких.","00215002002","http://www.belygorod.ru/b/N00215002002.jpg","Азы православия","99.0","76.0","p","2019-09-28"
"Азы православия","Что такое анафема","Под ред. Стебловской С.","ДАРЪ","2006","320","мягкий переплет","120х165х14","5-4850-0101-7","20","Часто мы слышим это страшное слово – анафема, – не задумываясь над его смыслом. Одни считают анафему отлучением от Церкви, другие – проклятием, подобным духовной смерти.","00202002371","http://www.belygorod.ru/b/N00202002371.jpg","Азы православия","80.0","57.0","p","2014-09-04"
"Азы православия","Что такое Библия? История создания, краткое содержание и толкование Св. Писания","Александр (Милеант), епископ","ДАРЪ","2013","528","твердый переплет","120х165х24","978-5-485-00422-4","5","Книга «Что такое Библия» является учебным пособием для изучения Священного Писания.В ней простым и доступным языком изложена история написания Библии, православное толкование книг Ветхого и Нового Заветов, разъясняется смысл и значение библейских текстов.","00202002375","http://www.belygorod.ru/b/N00202002375.jpg","Азы православия","245.0","188.0","p","2012-07-21"
"Альбом  /малотиражная серия/","Адольф фон Менцель","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4795-2","16","В альбоме представлены 22 работы Адольфа фон Менцеля, немецкого художника XIХ века, писавшего и пейзажи, и портреты, и исторические картины. Был он и замечательным графиком","20502113086","http://www.belygorod.ru/b/N20502113086.jpg","Альбом","510.0","425.0","p","2013-07-03"
"Альбом  /малотиражная серия/","Альбрехт Дюрер. Портреты","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4229-2","16","В альбоме представлены 22 портрета работы художника немецкого ренессанса Альбрехта Дюрера.","20502113021","http://www.belygorod.ru/b/N20502113021.jpg","Альбом","410.0","315.0","p","2017-10-08"
"Альбом  /малотиражная серия/","Амброзиус Босхарт","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4518-7","16","Альбом посвящен творчеству замечательного голландского живописца Амброзиуса Босхарта Старшего.","20502113053","http://www.belygorod.ru/b/N20502113053.jpg","Альбом","410.0","293.0","p","2018-03-25"
"Альбом  /малотиражная серия/","Андерс Цорн. Портреты","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-5253-6","16","В альбоме представлены 22 портрета, написанных знаменитым шведским художником рубежа XIХ–ХХ веков Андерсом Цорном","20502113128","http://www.belygorod.ru/b/N20502113128.jpg","Альбом","510.0","392.0","p","2018-08-03"
"Альбом  /малотиражная серия/","Ван Гог. Портрет","Милюгина Е. Г.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4305-3","16","В альбоме представлены 22 живописные работы Винсента Ван Гога","20502113035","http://www.belygorod.ru/b/N20502113035.jpg","Альбом","410.0","293.0","p","2014-12-01"
"Альбом  /малотиражная серия/","Винсент Ван Гог","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4304-6","16","В альбоме представлены 22 живописные работы Винсента Ван Гога.","20502113034","http://www.belygorod.ru/b/N20502113034.jpg","Альбом","410.0","315.0","p","2012-06-17"
"Альбом  /малотиражная серия/","Гарофало","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4752-5","16","Бенвенуто Тизи да Гарофало, больше известный как Гарофало, – крупный итальянский художник эпохи Высокого Возрождения.","20502113071","http://www.belygorod.ru/b/N20502113071.jpg","Альбом","510.0","425.0","p","2010-09-08"
"Альбом  /малотиражная серия/","Герард Давид","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4259-9","16","В альбоме представлены 22 работы нидерландского художника Северного возрождения Герарда Давида.","20502113017","http://www.belygorod.ru/b/N20502113017.jpg","Альбом","410.0","342.0","p","2012-12-18"
"Альбом  /малотиражная серия/","Геррит ван Хонтхорст","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4852-2","16","В альбоме представлены 22 работы Геррита ван Хонтхорста, голландского художника XVII века, относимого к утрехтским караваджистам.","20502113091","http://www.belygorod.ru/b/N20502113091.jpg","Альбом","510.0","425.0","p","2014-12-04"
"Альбом  /малотиражная серия/","Джованни Баттиста Тьеполо","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4208-7","16","В альбоме представлены 22 живописные работы Джованни Баттиста Тьеполо","20502113011","http://www.belygorod.ru/b/N20502113011.jpg","Альбом","410.0","315.0","p","2017-01-27"
"Альбом  /малотиражная серия/","Джованни Больдини","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-5234-5","16","В альбоме представлены 22 работы родившегося в Италии, но больше половины жизни работавшего в Париже, крайне неординарного художника рубежа XIХ–ХХ веков Джованни Больдини.","20502113126","http://www.belygorod.ru/b/N20502113126.jpg","Альбом","510.0","392.0","p","2011-12-18"
"Альбом  /малотиражная серия/","Джозеф Ноэль Патон","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4913-0","16","В альбоме представлены 22 работы английского художника XIX века, близкого к «Братству прерафаэлитов, Джозефа Ноэля Патона.","20502113105","http://www.belygorod.ru/b/N20502113105.jpg","Альбом","510.0","425.0","p","2010-06-23"
"Альбом  /малотиражная серия/","Джон Аткинсон Гримшоу","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4681-8","16","В альбоме представлены 22 работы самобытного английского художника XIХ века Джона Аткинсона Гримшоу.","20502113063","http://www.belygorod.ru/b/N20502113063.jpg","Альбом","410.0","342.0","p","2017-09-01"
"Альбом  /малотиражная серия/","Джон Уильям Уотерхауз","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4387-9","16","В альбоме представлены 22 работы английского художника Джона Уильяма Уотерхауза.","20502113040","http://www.belygorod.ru/b/N20502113040.jpg","Альбом","410.0","315.0","p","2014-10-06"
"Альбом  /малотиражная серия/","Диего Веласкес","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-5129-4","16","В альбоме представлены 22 работы знаменитого испанского художника XVII века Диего Родригеса де Сильва Веласкеса.","20502113117","http://www.belygorod.ru/b/N20502113117.jpg","Альбом","410.0","315.0","p","2010-08-28"
"Альбом  /малотиражная серия/","Дуччо ди Буонинсенья","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4472-2","16","В альбоме представлены работы одного из крупнейшего представителей итальянской живописи Средневековья Дуччо ди Буонинсенья.","20502113045","http://www.belygorod.ru/b/N20502113045.jpg","Альбом","410.0","293.0","p","2019-11-26"
"Альбом  /малотиражная серия/","Йос ван Клеве","Астахов А. Ю.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4351-0","16","В альбоме представлены 22 работы нидерландского художника Йоса ван Клеве.","20502113036","http://www.belygorod.ru/b/N20502113036.jpg","Альбом","410.0","293.0","p","2018-09-03"
"Альбом  /малотиражная серия/","Каналетто","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4625-2","16","В альбоме представлены 22 работы известного венецианского ведутиста XVIII века Каналетто.","20502113060","http://www.belygorod.ru/b/N20502113060.jpg","Альбом","410.0","293.0","p","2011-11-14"
"Альбом  /малотиражная серия/","Караваджо","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х333х3","978-5-7793-4704-4","16","В альбоме представлены 22 работы известного итальянского художника-новатора XVI века – Караваджо, оказавшего огромное влияние на многие поколения живописцев разных стран","20502113064","http://www.belygorod.ru/b/N20502113064.jpg","Альбом","410.0","315.0","p","2016-10-24"
"Альбом  /малотиражная серия/","Карло Кривелли","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4190-5","16","Карло Кривелли стоит несколько одиночной фигурой среди большого числа живописцев века итальянского Кватроченто (XV век). В альбоме представлены 22 живописные работы Карло Кривелли.","20502113003","http://www.belygorod.ru/b/N20502113003.jpg","Альбом","410.0","315.0","p","2012-01-07"
"Альбом  /малотиражная серия/","Клод Моне","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-5013-6","16","В альбоме представлены 22 работы Клода Моне, художника-импрессиониста, одного из основателей этого течения в искусстве.","20502113106","http://www.belygorod.ru/b/N20502113106.jpg","Альбом","510.0","392.0","p","2017-03-29"
"Альбом  /малотиражная серия/","Леонардо да Винчи","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4306-0","16","В альбоме представлены 22 живописные работы Леонардо да Винчи.","20502113031","http://www.belygorod.ru/b/N20502113031.jpg","Альбом","410.0","293.0","p","2018-02-09"
"Альбом  /малотиражная серия/","Лудолф Бакхейзен","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4396-1","16","В альбоме представлены 22 работы голландского художника-мариниста Лудолфа Бакхейзена","20502113044","http://www.belygorod.ru/b/N20502113044.jpg","Альбом","410.0","315.0","p","2011-04-17"
"Альбом  /малотиражная серия/","Лукас Кранах Старший","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4792-1","16","В альбоме представлены 22 работы известного немецкого художника Северного Возрождения – Лукаса Кранаха Старшего, писавшего и портреты и сцены на религиозные и мифологические сюжеты.","20502113075","http://www.belygorod.ru/b/N20502113075.jpg","Альбом","510.0","425.0","p","2011-05-27"
"Альбом  /малотиражная серия/","Мазолино","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4707-5","16","Итальянский живописец Раннего Возрождения Мазолино выполнил немалое количество росписей, которые поставили его в один ряд с выдающимися мастерами. Работал он и со знаменитым Мазаччо, и его влияние в будущем скажется на творчестве молодого мастера.","20502113065","http://www.belygorod.ru/b/N20502113065.jpg","Альбом","410.0","342.0","p","2013-01-19"
"Альбом  /малотиражная серия/","Мартин Джонсон Хид","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4637-5","16","В альбоме представлены 22 работы американского художника конца XIХ века, писавшего в основном пейзажи и натюрморты Мартина Джонсона Хида.","20502113061","http://www.belygorod.ru/b/N20502113061.jpg","Альбом","410.0","315.0","p","2017-02-21"
"Альбом  /малотиражная серия/","Мастер святого Варфоломея","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4205-6","16","В альбоме представлены 22 живописные работы анонимного живописца рубежа XV–XVI веков, известный под именем Мастера Алтаря Святого Варфоломея или Мастера святого Варфоломея","20502113012","http://www.belygorod.ru/b/N20502113012.jpg","Альбом","410.0","293.0","p","2012-11-27"
"Альбом  /малотиражная серия/","Маттиас Стомер","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4863-8","16","В альбоме представлены 22 работы Маттиаса Стомера, голландского художника XVII века, относимого к утрехтским караваджистам.","20502113089","http://www.belygorod.ru/b/N20502113089.jpg","Альбом","510.0","364.0","p","2012-11-19"
"Альбом  /малотиражная серия/","Паулюс Морельс","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4876-8","16","В альбоме представлены 22 работы Паулюса Морельса, голландского художника XVII века из Утрехта.","20502113093","http://www.belygorod.ru/b/N20502113093.jpg","Альбом","510.0","425.0","p","2018-09-01"
"Альбом  /малотиражная серия/","Питер Брейгель Старший","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4720-4","16","Питер Брейгель Старший – гениальный представитель Северного Возрождения,  творчество которого отразило национальное своеобразие жизни его родины. За неполные десять лет он создал великолепные произведения, вошедшие в сокровищницу мирового искусства.","20502113069","http://www.belygorod.ru/b/N20502113069.jpg","Альбом","410.0","293.0","p","2017-06-07"
"Альбом  /малотиражная серия/","Поль Деларош","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-5029-7","16","В альбоме представлены 22 работы Поля Делароша, французского художника первой половины XIХ века, бывшего в первую очередь историческим живописцем, но писавшего и на религиозные сюжеты, и портреты.","20502113110","http://www.belygorod.ru/b/N20502113110.jpg","Альбом","510.0","364.0","p","2018-09-04"
"Альбом  /малотиражная серия/","Пьер Огюст Ренуар","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4301-5","16","В наши дни Пьер Огюст Ренуар – один из самых известных и любимых французских художников. Он написал свыше 6000 пейзажей, натюрмортов, портретов, многофигурных композиций и, конечно, привлекательных и нежных обнаженных женских моделей.","20502113030","http://www.belygorod.ru/b/N20502113030.jpg","Альбом","410.0","315.0","p","2017-03-18"
"Альбом  /малотиражная серия/","Ракель Рейш","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4517-0","16","Альбом посвящен творчеству замечательной голландской художницы Ракель Рейш.","20502113054","http://www.belygorod.ru/b/N20502113054.jpg","Альбом","410.0","293.0","p","2012-08-21"
"Альбом  /малотиражная серия/","Рафаэль","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4307-7","16","В альбоме представлены 22 живописные работы Рафаэля.","20502113033","http://www.belygorod.ru/b/N20502113033.jpg","Альбом","410.0","293.0","p","2012-09-23"
"Альбом  /малотиражная серия/","Рафаэль. Портрет","----------","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4308-4","16","В альбоме представлены 22 живописные работы Рафаэля.","20502113032","http://www.belygorod.ru/b/N20502113032.jpg","Альбом","410.0","342.0","p","2016-12-08"
"Альбом  /малотиражная серия/","Рембрандт. Портрет","Милюгина Е. Г.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4463-0","16","В альбоме представлены 22 живописные работы Рембрандта Харменса ван Рейна","20502113052","http://www.belygorod.ru/b/N20502113052.jpg","Альбом","410.0","315.0","p","2019-07-26"
"Альбом  /малотиражная серия/","Тициан","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-5158-4","16","В альбоме представлены 22 работы знаменитого итальянского художника XVI века Тициана.","20502113120","http://www.belygorod.ru/b/N20502113120.jpg","Альбом","410.0","315.0","p","2011-09-01"
"Альбом  /малотиражная серия/","Уильям Холбрук Бёрд","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х3","978-5-7793-4767-9","16","В альбоме представлены 22 работы американского художника XIХ века, анималиста и представителя «Школы реки Гудзон», Уильяма Холбрука Бёрда.","20502113081","http://www.belygorod.ru/b/N20502113081.jpg","Альбом","510.0","392.0","p","2015-05-09"
"Альбом  /малотиражная серия/","Филипп Кальдерон","Астахов Ю. А.","Белый город. Воскресный день","2018","48","мягкий переплет","225х303х4","978-5-7793-4963-5","16","В альбоме представлены 22 работы английского художника XIX века, близкого к «Братству прерафаэлитов», Филиппа Гермогенса Кальдерона.","20502113103","http://www.belygorod.ru/b/N20502113103.jpg","Альбом","510.0","425.0","p","2012-10-16"
